	sample	station	Group_name	layer	size_num	size	group	latitude	longitude	time	bottom	depth	ZML_TS	Ze	ZCM	ice	air_temp	water_temp	conductivity	salinity	PAR	surf_PAR	oxygen	O_saturation	beam_trans	NH4	NO2NO3	PO4	fluorescence	Chla	Pprod_Sun	Pprod_PAR	Pprod_PAR_20	Babun	Bprod	Observed	Chao1	se.chao1	Shannon	picoDiversity	nanoDiversity	microDiversity
A.DCM.0.2	A_DCM_0.2	A	Gerlache	DCM	0.2	pico	0	-64.54076	-62.37334	310.483787	740	45.545	24.754	49.505	30.694	0	-0.5	-0.4028	28.113623	34.1966	13.928	1085.2	6.2321	8.14088	98.5873	1.27	30.87	3.29	0.7392	0.52	 	 	 	158413839.9	3.64	1120	1910.030612	91.91560294	3.357687566	1120		462
A.Surf.0.2	A_Surf_0.2	A	Gerlache	Surf	0.2	pico	0	-64.54078	-62.3734	310.486717	740	0.991	24.754	49.505	30.694	0	-0.5	-0.6311	27.769273	34.018	965.28	920.13	7.0067	8.20035	97.8965	1.38	29.97	3.03	0.1508	0.5	 	 	 	136414934.3	4.07	1294	2060.107296	84.89243439	3.898367988	1294		618
B.Surf.0.2	B_Surf_0.2	B	Palmer	Surf	0.2	pico	1	-64.82037	-64.07356	312.875765	640	0.989	15.842	38.615	16.833	0.9	-1.2	-1.3715	27.037426	33.8567	827.51	472.37	5.9068	8.37324	98.7673	 	 	 	0.3114	 	 	 	 	 	5.56	1029	1727.039326	85.63751404	3.349097044	1029	1037	687
C.DCM.0.2	C_DCM_0.2	C	Palmer	DCM	0.2	pico	1	-64.89636	-64.2025	315.479641	799	29.703	11.882	53.464	40.595	1	-1.4	-1.3452	27.08685	33.8767	37.213	741.52	6.75	8.36615	98.8663	1.35	31.4	3.07	0.3728	0.22	0.626	1.222	0.238	155286703.5	1.68	1032	1626.966346	71.6770628	3.288365448	1032	1386	714
C.Surf.0.2	C_Surf_0.2	C	Palmer	Surf	0.2	pico	1	-64.89646	-64.2025	315.480951	799	0.991	11.882	53.464	40.595	1	-1.4	-1.6132	26.647564	33.5915	622.9	716.75	7.1019	8.44376	98.4833	1.48	30.86	3.03	0.2463	0.43	1.041	1.826	0.973	142558493.3	7.85	1112	1666.06422	66.75860102	3.673324311	1112	1366	676
D.50m.0.2	D_50m_0.2	D	Palmer	DCM	0.2	pico	1	-64.95172	-64.30877	315.97204	1405	49.506	14.852	55.445	13.863	0.9	-1.5	-1.6027	26.944004	33.9598	1.7614	146.7	7.2197	8.41926	99.4372	 	 	 	0.2312	 	 	 	 	 	1.61	1130	1659.593301	65.20809066	3.869819344	1130	728	697
D.15m.0.2	D_15m_0.2	D	Palmer	Surf	0.2	pico	1	-64.9517	-64.30869	315.973227	1405	14.852	14.852	55.445	13.863	0.9	-1.5	-1.794	26.635827	33.7716	21.099	142.06	7.2513	8.47421	99.0989	 	 	 	0.3166	 	 	 	 	 	5.01	1177	1936.562791	86.44116385	3.7983071	1177	1090	742
E.DCM.0.2	E_DCM_0.2	E	Grandidier	DCM	0.2	pico	2	-65.23862	-64.19868	317.344075	175	14.852	17.825	58.412	6.933	0.7	-1.2	-1.4048	26.8726	33.6584	10.259	84.55	6.4325	8.39255	98.5756	1.31	30.51	3.16	0.4742	0.33	1.051	1.481	0.467	122173047.6	2.26	1296	2102.539419	87.5849798	3.77925379	1296	1479	452
E.Surf.0.2	E_Surf_0.2	E	Grandidier	Surf	0.2	pico	2	-65.2386	-64.19871	317.3457	175	0.992	17.825	58.412	6.933	0.7	-1.2	-1.407	26.863202	33.6567	45.909	93.36	6.5109	8.39314	98.5552	1.33	30.86	2.94	0.4204	0.39	1.091	1.79	0.737	92386095.07	3.26	1277	2082.055794	88.37852013	3.700324401	1277	1382	506
G.DCM.0.2	G_DCM_0.2	G	Grandidier	DCM	0.2	pico	2	-65.49264	-64.54692	319.341426	175	34.652	13.862	70.289	8.91	0.7	-1.5	-1.4408	27.040816	33.9186	4.0854	126.57	6.3669	8.38514	99.0836	1.22	30.69	3.25	0.1776	0.1	0.39	0.354	0.202	111458665.3	0.61	966	1534.167568	71.57519757	3.14555395	966	363	692
