OTU	T1	T2	T4	Genus-species	acc	id%	Trophic	occurrence	readnumber	B-Surf-20	B-Surf-5	B-Surf-0.2	C-Surf-20	C-Surf-5	C-Surf-0.2	M-DCM-5	M-DCM-0.2	A-Surf-20	C-DCM-20	C-DCM-5	C-DCM-0.2	D-15m-20	D-15m-5	D-15m-0.2	D-50m-20	D-50m-5	D-50m-0.2	E-Surf-20	E-Surf-5	E-Surf-0.2	E-DCM-20	E-DCM-5	E-DCM-0.2	G-Surf-20	G-Surf-5	G-Surf-0.2	G-DCM-20	G-DCM-5	G-DCM-0.2	H-Surf-20	A-Surf-0.2	H-Surf-0.2	H-DCM-20	H-DCM-5	H-DCM-0.2	I-Surf-20	I-Surf-5	I-Surf-0.2	I-15m-20	I-15m-5	I-15m-0.2	J-Surf-20	J-Surf-5	J-Surf-0.2	J-DCM-20	J-DCM-5	J-DCM-0.2	K-Surf-20	K-Surf-5	K-Surf-0.2	K-DCM-20	K-DCM-5	K-DCM-0.2	L-Surf-20	L-Surf-5	L-Surf-0.2	L-DCM-20	L-DCM-5	L-DCM-0.2	M-Surf-20	M-Surf-5	M-Surf-0.2	M-DCM-20	O-DCM-20	O-DCM-0.2	O-Bucket-5	P-Surf-20	P-DCM-20	P-DCM-5	P-DCM-0.2	Q-Surf-20	Q-Surf-0.2	Q-DCM-0.2	Q-Bucket-20	Q-Bucket-5	Q-Bucket-0.2	R-Surf-0.2	A-DCM-20	A-DCM-0.2	O-Surf-20	O-Surf-5	O-Surf-0.2	O-DCM-5	O-Bucket-20	O-Bucket-0.2	P-Surf-5	P-Surf-0.2	Q-Surf-5	Q-DCM-20	Q-DCM-5	R-Surf-20	R-Surf-5	R-16m-20	R-16m-5	R-16m-0.2
OTU10	Metazoa	Ecdysozoa	Appendicularia	Fritillaria-borealis	MK621878	99	Metazoa	22	31827	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1306	5	3	0	0	0	6	0	0	49	0	0	6872	0	10	0	0	0	0	1	12	7737	14	0	3558	8	0	0	0	0	0	0	0	20	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	12152	8	2	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
OTU1048	Metazoa	Cnidaria	Hydrozoa	Colobonema-sericeum	MG979358	97	Metazoa	5	123	1	0	0	0	0	0	0	0	0	13	0	0	20	0	0	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1139	Metazoa	Cnidaria	Hydrozoa	Colobonema-sericeum	MG979358	94	Metazoa	4	54	0	0	0	0	0	0	0	0	0	4	0	0	8	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1162	Metazoa	Cnidaria	Hydrozoa	Crystallophyes-amygdalina	KX421850	100	Metazoa	12	99	0	0	0	0	0	0	0	0	2	0	0	0	51	0	0	7	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	2	0	0	2	0	0	18	8	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU119	Metazoa	Ecdysozoa	Arthropoda	Oithona-similis	KR048725	100	Metazoa	12	1622	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	5	0	1	54	0	0	50	0	0	0	0	0	0	0	2	570	0	0	0	0	0	0	0	0	39	0	0	0	0	0	608	0	0	0	0	0	0	0	0	0	0	0	250	0	0	0	2	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1258	Metazoa	Cnidaria	Hydrozoa	Colobonema-sericeum	MG979358	99	Metazoa	6	167	0	0	0	1	0	0	0	0	0	10	0	0	23	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	125	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1556	Metazoa	Ctenophora	Tentaculata	Mertensia-ovum	MG661048	98	Metazoa	2	43	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1558	Metazoa	Cnidaria	Hydrozoa	Colobonema-sericeum	MG979358	96	Metazoa	5	80	0	0	0	0	0	0	0	0	0	15	0	0	10	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1560	Metazoa	Cnidaria	Hydrozoa	Colobonema-sericeum	MG979358	92	Metazoa	4	73	0	0	0	0	0	0	0	0	0	3	0	0	8	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1600	Metazoa	Ecdysozoa	Arthropoda	Oithona-similis	KR048725	99	Metazoa	10	173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	6	0	0	10	0	0	0	0	0	0	0	0	71	0	0	0	0	0	0	0	0	6	0	0	0	0	0	70	1	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU175	Metazoa	Ctenophora	Tentaculata	Mertensia-ovum	MG661048	100	Metazoa	18	348	0	0	0	9	2	3	0	0	0	0	0	1	17	0	0	240	6	8	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	34	2	2	1	0	0	0	0	0	0	0	0	4	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1919	Metazoa	Ecdysozoa	Arthropoda	Verhoeffiella-sp.-VCA397	MN537410	69	Metazoa	5	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	20	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU2377	Metazoa	Ctenophora	Tentaculata	Mertensia-ovum	MG661048	97	Metazoa	1	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU272	Metazoa	Ctenophora	Tentaculata	Mertensiidae-sp.-A9	HF912439	100	Metazoa	19	481	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	3	9	0	0	26	4	0	1	13	0	40	33	2	249	23	3	9	10	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU2834	Metazoa	Cnidaria	Hydrozoa	Colobonema-sericeum	MG979358	98	Metazoa	5	52	0	0	0	0	0	0	0	0	0	0	0	1	6	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU409	Metazoa	Ecdysozoa	Arthropoda	Triconia-borealis	MG661032	98	Metazoa	11	338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	6	0	0	34	0	0	103	13	0	16	0	0	70	0	0	24	0	0	66	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU457	Metazoa	Ecdysozoa	Arthropoda	Verhoeffiella-sp.-VCA397	MN537410	69	Metazoa	12	385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	1	0	0	0	0	0	0	3	0	0	74	0	1	0	0	0	0	0	0	162	0	0	43	2	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU59	Metazoa	Cnidaria	Hydrozoa	Colobonema-sericeum	MG979358	100	Metazoa	20	2984	2	4	1	6	0	2	0	0	0	83	9	7	156	9	7	472	6	6	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	2150	54	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU760	Metazoa	Spiralia	Lophotrochozoa	Podarkeopsis-sp.-EPK-2019	MN069512	100	Metazoa	10	135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	4	0	0	2	0	0	0	0	0	0	0	0	10	0	0	0	0	0	1	0	0	1	0	0	27	0	0	70	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU106	Eukaryota-incertae-sedis	Picozoa	unclassified-Picozoa	Picobiliphyte-sp.-MS584-11	MG202004	99	Hetero-Colloids	58	1914	0	5	19	0	5	22	0	7	0	0	20	38	0	8	32	0	2	72	0	7	39	0	17	43	0	17	32	0	0	59	0	26	14	0	10	29	0	18	136	0	19	186	0	2	18	0	5	40	0	5	35	0	3	119	0	2	44	0	1	37	0	4	19	0	0	12	21	0	0	0	11	0	22	71	0	0	43	0	0	11	0	1	93	1	0	236	10	136	10	0	1	0	2	0	5	12
OTU118	Eukaryota-incertae-sedis	Picozoa	Picomonadea	Picomonas-judraskeda	JX988758	90	Hetero-Colloids	37	2076	0	2	0	0	83	12	0	0	0	0	9	0	1	258	68	0	0	0	0	9	12	0	32	2	0	9	0	0	0	0	0	16	25	0	0	1	0	3	1	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0	1	0	0	0	241	6	0	196	507	13	0	0	0	10	7	0	1	81	46	41	251	0	4	0	9	0	32	29
OTU1231	Eukaryota-incertae-sedis	Picozoa	unclassified-Picozoa	Picobiliphyte-sp.-MS584-11	MG202004	98	Hetero-Colloids	30	175	0	0	0	0	2	2	0	0	0	0	4	1	0	9	9	0	0	3	0	0	1	0	0	4	0	0	4	0	0	2	0	0	0	0	0	1	0	0	14	0	1	13	0	0	0	0	0	0	0	0	2	0	0	2	0	0	3	0	0	1	0	0	0	0	0	3	1	0	0	0	1	0	3	11	0	0	6	0	0	0	0	0	5	0	0	48	0	16	0	0	0	0	0	0	1	2
OTU1359	Eukaryota-incertae-sedis	Picozoa	Picomonadea	Picomonas-judraskeda	JX988758	93	Hetero-Colloids	35	214	0	5	1	0	5	2	0	0	0	0	27	0	0	18	8	0	0	2	0	7	5	0	29	1	0	4	1	0	0	0	0	6	1	0	3	6	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	4	0	0	1	0	0	1	25	0	2	9	0	0	1	0	2	2	0	0	0	1	4	6	0	16	0	0	0	0	4
OTU1439	Eukaryota-incertae-sedis	Picozoa	unclassified-Picozoa	Picobiliphyte-sp.-MS584-11	MG202004	91	Hetero-Colloids	15	107	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	8	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	12	0	0	44	0	19	0	0	0	0	0	0	0	0
OTU1497	Eukaryota-incertae-sedis	Picozoa	unclassified-Picozoa	Picobiliphyte-sp.-MS609-66	JN934893	100	Hetero-Colloids	37	150	0	1	1	0	0	3	0	1	0	0	2	5	0	1	6	0	0	7	0	1	2	0	2	4	0	1	10	0	0	13	0	0	0	0	0	0	0	6	12	0	0	31	0	0	0	0	0	4	0	0	1	0	0	1	0	1	4	0	0	1	0	0	1	0	0	2	0	0	0	0	4	0	1	4	0	0	2	0	0	0	0	1	2	0	0	5	3	3	0	0	1	0	0	0	0	0
OTU1513	Eukaryota-incertae-sedis	Picozoa	Picomonadea	Picomonas-judraskeda	JX988758	92	Hetero-Colloids	17	99	0	0	0	0	5	0	0	0	0	0	3	0	0	2	1	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	20	0	0	0	0	0	5	1	0	0	1	7	0	25	0	16	0	0	0	2	0
OTU1519	Eukaryota-incertae-sedis	Picozoa	Picomonadea	Picomonas-judraskeda	JX988758	88	Hetero-Colloids	14	87	0	1	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	10	0	0	16	0	0	0	0	0	8	0	0	14	0	6	0	0	0	0	0	0	0	0
OTU1681	Eukaryota-incertae-sedis	Picozoa	Picomonadea	Picomonas-judraskeda	JX988758	92	Hetero-Colloids	15	181	0	0	0	0	3	0	0	0	0	0	1	0	1	34	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	24	0	0	3	82	0	0	0	0	0	0	0	0	7	3	3	11	0	1	0	0	0	0	0
OTU17	Eukaryota-incertae-sedis	Picozoa	Picomonadea	Picomonas-judraskeda	JX988758	94	Hetero-Colloids	67	19031	0	151	80	0	384	75	1	15	0	0	654	93	5	1963	610	0	19	102	0	102	82	0	252	66	0	103	33	0	1	58	0	75	54	0	48	78	0	60	173	0	45	195	0	1	11	0	12	66	0	4	14	0	6	60	0	4	45	0	8	27	0	3	18	0	0	52	405	0	0	11	42	2	1856	1739	1	438	4069	14	0	32	0	175	590	17	3	1209	230	794	723	0	542	0	13	0	140	78
OTU1719	Eukaryota-incertae-sedis	Picozoa	unclassified-Picozoa	Picobiliphyte-sp.-MS584-11	MG202004	93	Hetero-Colloids	30	127	0	0	0	0	2	1	0	0	0	0	0	1	0	4	4	0	0	0	0	0	3	0	0	5	0	1	1	0	0	0	0	5	10	0	0	1	0	1	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	5	1	0	1	10	1	0	0	0	0	1	0	0	18	3	14	11	0	0	0	1	0	4	9
OTU1726	Eukaryota-incertae-sedis	Picozoa	Picomonadea	Picomonas-judraskeda	JX988758	89	Hetero-Colloids	41	278	0	9	1	0	10	1	0	0	0	0	27	1	0	30	14	0	3	0	0	2	3	0	8	4	0	2	1	0	0	0	0	1	5	0	2	5	0	2	3	0	1	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	14	0	0	1	0	0	38	8	0	1	39	0	0	1	0	0	12	0	0	4	5	5	2	0	7	0	0	0	1	1
OTU1812	Eukaryota-incertae-sedis	Picozoa	unclassified-Picozoa	Picobiliphyte-sp.-MS584-11	MG202004	89	Hetero-Colloids	31	117	0	1	1	0	0	2	0	2	0	0	0	9	0	0	2	0	0	5	0	1	2	0	0	0	0	0	2	0	0	6	0	0	0	0	0	0	0	1	17	0	1	10	0	0	5	0	0	2	0	0	7	0	0	5	0	0	2	0	1	4	0	0	3	0	0	2	0	0	0	0	0	0	1	3	0	0	0	0	0	1	0	0	8	0	0	8	1	2	0	0	0	0	0	0	0	0
OTU1940	Eukaryota-incertae-sedis	Picozoa	unclassified-Picozoa	Picobiliphyte-sp.-MS584-22	JN934892	98	Hetero-Colloids	41	272	0	0	2	0	1	2	0	1	0	0	3	5	0	0	8	0	0	8	0	1	4	0	1	5	0	2	2	0	0	2	0	0	0	0	0	0	0	1	5	0	0	7	0	0	3	0	0	1	0	0	2	0	0	5	0	0	5	0	0	1	0	0	2	0	0	0	4	0	0	0	1	0	15	29	0	3	34	0	0	0	0	1	7	0	0	26	1	38	4	0	5	0	1	0	21	3
